GEOMETRY,SPECIES,DIAMETER,LATITUDE,LONGITUDE,New Georeferenced Column
POINT (-97.73346416748402 30.252046390041787),Live Oak,17,30.25204639,-97.73346417,POINT (-97.7334641675 30.25204639)
POINT (-97.73336801331789 30.252065878309526),Live Oak,19,30.25206588,-97.73336801,POINT (-97.7333680133 30.2520658783)
POINT (-97.73326110678852 30.25208845536565),Live Oak,19,30.25208846,-97.73326111,POINT (-97.7332611068 30.2520884554)
POINT (-97.73351784639269 30.251854552353194),Pecan,18,30.25185455,-97.73351785,POINT (-97.7335178464 30.2518545524)
POINT (-97.73345957902201 30.251790988282032),Live Oak,25,30.25179099,-97.73345958,POINT (-97.733459579 30.2517909883)
POINT (-97.73321428610173 30.251666660907023),Live Oak,22,30.25166666,-97.73321429,POINT (-97.7332142861 30.2516666609)
POINT (-97.73451168468746 30.25228930512442),Bur Oak,17,30.25229452,-97.73451931,POINT (-97.7345193079 30.252294518)
POINT (-97.73329174693566 30.25158402285799),Texas Mountain Laurel,6,30.25158924,-97.73329937,POINT (-97.7332993698 30.2515892357)
POINT (-97.73330853377111 30.251577459732744),Texas Mountain Laurel,6,30.25158267,-97.73331616,POINT (-97.7333161566 30.2515826725)
POINT (-97.73332045897283 30.25158643281773),Texas Mountain Laurel,12,30.25159165,-97.73332808,POINT (-97.7333280818 30.2515916456)
POINT (-97.73343575561115 30.251646351165164),Texas Mountain Laurel,9,30.25165156,-97.73344338,POINT (-97.7334433785 30.251651564)
POINT (-97.73345088114151 30.251649375978797),Texas Mountain Laurel,8,30.25165459,-97.7334585,POINT (-97.733458504 30.2516545888)
POINT (-97.7334737765724 30.251661873348592),Texas Mountain Laurel,14,30.25166709,-97.7334814,POINT (-97.7334813995 30.2516670862)
POINT (-97.7334972320484 30.251672061256016),Texas Mountain Laurel,14,30.25167727,-97.73350486,POINT (-97.733504855 30.2516772741)
POINT (-97.73354662113636 30.25170725056417),Texas Mountain Laurel,9,30.25171246,-97.73355424,POINT (-97.7335542441 30.2517124634)
POINT (-97.73352672656463 30.251739446646102),Sugarberry,9,30.25174466,-97.73353435,POINT (-97.7335343495 30.2517446595)
POINT (-97.73353059716992 30.25175087304656),Sugarberry,6,30.25175609,-97.73353822,POINT (-97.7335382201 30.2517560859)
POINT (-97.73353350267602 30.25176197306547),Sugarberry,4,30.25176719,-97.73354113,POINT (-97.7335411256 30.2517671859)
POINT (-97.73360311498706 30.251716512662966),Texas Mountain Laurel,6,30.25172173,-97.73361074,POINT (-97.7336107379 30.2517217255)
POINT (-97.73365617316954 30.251749537673795),Texas Mountain Laurel,7,30.25175475,-97.7336638,POINT (-97.7336637961 30.2517547505)
POINT (-97.7336735235328 30.25174895131849),Texas Mountain Laurel,9,30.25175416,-97.73368115,POINT (-97.7336811465 30.2517541641)
POINT (-97.73381299835067 30.25181412070351),Texas Mountain Laurel,4.5,30.25181933,-97.73382062,POINT (-97.7338206213 30.2518193335)
POINT (-97.73371190320833 30.251836470450584),False Willow,6,30.25184168,-97.73371953,POINT (-97.7337195262 30.2518416833)
POINT (-97.73381650189859 30.25182076716022),Texas Mountain Laurel,9,30.25182598,-97.73382412,POINT (-97.7338241249 30.25182598)
POINT (-97.73382682864491 30.251818813788212),Texas Mountain Laurel,4,30.25182403,-97.73383445,POINT (-97.7338344516 30.2518240266)
POINT (-97.73392329241469 30.251907961699086),Texas Mountain Laurel,9,30.25191007,-97.73395599,POINT (-97.7339559886 30.2519100676)
POINT (-97.7341239912769 30.251950868778373),Texas Mountain Laurel,14,30.25195608,-97.73413161,POINT (-97.7341316144 30.2519560816)
POINT (-97.73409689298632 30.251928198073845),Texas Mountain Laurel,4.5,30.25193341,-97.73410452,POINT (-97.7341045161 30.2519334109)
POINT (-97.73424272448732 30.251985745737176),Texas Mountain Laurel,21,30.25199096,-97.73425035,POINT (-97.7342503476 30.2519909586)
POINT (-97.7342593951375 30.251998828623524),Texas Mountain Laurel,14,30.25200404,-97.73426702,POINT (-97.7342670183 30.2520040415)
POINT (-97.73429553958124 30.252010091332664),Texas Mountain Laurel,13,30.2520153,-97.73430316,POINT (-97.7343031627 30.2520153042)
POINT (-97.7401419996486 30.186985000248303),Vacant Site,0,30.186985,-97.740142,POINT (-97.740142 30.186985)
POINT (-97.74022899975677 30.187035000400684),Vacant Site,0,30.187035,-97.740229,POINT (-97.740229 30.187035)
POINT (-97.7403690002505 30.187122000445825),Vacant Site,0,30.187122,-97.740369,POINT (-97.740369 30.187122)
POINT (-97.74138399965925 30.187153999809752),Bur Oak,11,30.187154,-97.741384,POINT (-97.741384 30.187154)
POINT (-97.74154800022653 30.187163000186505),Bur Oak,7,30.187163,-97.741548,POINT (-97.741548 30.187163)
POINT (-97.74052300000226 30.18723200015412),Brush,0,30.187232,-97.740523,POINT (-97.740523 30.187232)
POINT (-97.74157399947971 30.18723300004307),Bur Oak,7,30.187233,-97.741574,POINT (-97.741574 30.187233)
POINT (-97.74143600045406 30.187255999575086),Cedar Elm,6,30.187256,-97.741436,POINT (-97.741436 30.187256)
POINT (-97.74182699986257 30.187287000155507),Bur Oak,12,30.187287,-97.741827,POINT (-97.741827 30.187287)
POINT (-97.74193499961807 30.187295999781572),Bur Oak,9,30.187296,-97.741935,POINT (-97.741935 30.187296)
POINT (-97.74140899970102 30.187339999982452),Cedar Elm,5,30.18734,-97.741409,POINT (-97.741409 30.18734)
POINT (-97.74184399992468 30.18735499958489),Bur Oak,4,30.187355,-97.741844,POINT (-97.741844 30.187355)
POINT (-97.74163999983625 30.187380999960464),Cedar Elm,8,30.187381,-97.74164,POINT (-97.74164 30.187381)
POINT (-97.74200100034302 30.18741500025004),Cedar Elm,11,30.187415,-97.742001,POINT (-97.742001 30.187415)
POINT (-97.74161300044753 30.187425999687267),Bur Oak,6,30.187426,-97.741613,POINT (-97.741613 30.187426)
POINT (-97.74137099994054 30.187432999575226),Ashe Juniper,14,30.187433,-97.741371,POINT (-97.741371 30.187433)
POINT (-97.7420940004558 30.1874389997456),Cedar Elm,9,30.187439,-97.742094,POINT (-97.742094 30.187439)
POINT (-97.74134499955284 30.187442999827343),Ashe Juniper,8,30.187443,-97.741345,POINT (-97.741345 30.187443)
POINT (-97.74216699968997 30.187451000260616),Mexican Plum,1,30.187451,-97.742167,POINT (-97.742167 30.187451)
POINT (-97.74144000045148 30.187481000342718),Ashe Juniper,8,30.187481,-97.74144,POINT (-97.74144 30.187481)
POINT (-97.74182399978609 30.1874820000115),Vitex,16,30.187482,-97.741824,POINT (-97.741824 30.187482)
POINT (-97.74142500018925 30.187493999795358),Ashe Juniper,17,30.187494,-97.741425,POINT (-97.741425 30.187494)
POINT (-97.74221199991504 30.187619999888703),Chinkapin Oak,10,30.18762,-97.742212,POINT (-97.742212 30.18762)
POINT (-97.77043699957677 30.187648000392777),Cedar Elm,13,30.187648,-97.770437,POINT (-97.770437 30.187648)
POINT (-97.74211299979494 30.187688000282062),Cedar Elm,14,30.187688,-97.742113,POINT (-97.742113 30.187688)
POINT (-97.74162900041539 30.187695000327636),Mexican Plum,9,30.187695,-97.741629,POINT (-97.741629 30.187695)
POINT (-97.74164899953297 30.18770300013724),Mexican Plum,12,30.187703,-97.741649,POINT (-97.741649 30.187703)
POINT (-97.74226799950105 30.187709999761427),Chinkapin Oak,9,30.18771,-97.742268,POINT (-97.742268 30.18771)
POINT (-97.74223299954768 30.187745000434916),Chinkapin Oak,10,30.187745,-97.742233,POINT (-97.742233 30.187745)
POINT (-97.74222500002537 30.18776900037205),Cedar Elm,9.5,30.187769,-97.742225,POINT (-97.742225 30.187769)
POINT (-97.74196200048019 30.187829999862906),Redbud,3,30.18783,-97.741962,POINT (-97.741962 30.18783)
POINT (-97.74199299986614 30.187857999663226),Mesquite,20,30.187858,-97.741993,POINT (-97.741993 30.187858)
POINT (-97.7790739995033 30.20702700027792),Cedar Elm,34,30.207027,-97.779074,POINT (-97.7790739995 30.2070270003)
POINT (-97.77915500021646 30.207056999668264),Texas Mountain Laurel,8,30.207057,-97.779155,POINT (-97.7791550002 30.2070569997)
POINT (-97.77911400018878 30.207062999868203),Texas Mountain Laurel,13,30.207063,-97.779114,POINT (-97.7791140002 30.2070629999)
POINT (-97.7797440003772 30.20707400007061),Live Oak,5,30.207074,-97.779744,POINT (-97.7797440004 30.2070740001)
POINT (-97.77928599995516 30.207084999623515),Ligustrum,14,30.207085,-97.779286,POINT (-97.779286 30.2070849996)
POINT (-97.77939599995847 30.207094999617347),Ashe Juniper,12,30.207095,-97.779396,POINT (-97.779396 30.2070949996)
POINT (-97.7794709998474 30.20709900029458),Ashe Juniper,21,30.207099,-97.779471,POINT (-97.7794709998 30.2070990003)
POINT (-97.77917199996475 30.207108999857674),Cedar Elm,4,30.207109,-97.779172,POINT (-97.779172 30.2071089999)
POINT (-97.77941599952497 30.207117000278647),Ashe Juniper,12,30.207117,-97.779416,POINT (-97.7794159995 30.2071170003)
POINT (-97.7792180003203 30.207127000295415),Cedar Elm,3,30.207127,-97.779218,POINT (-97.7792180003 30.2071270003)
POINT (-97.77971299990152 30.207131000149076),Chinaberry,9,30.207131,-97.779713,POINT (-97.7797129999 30.2071310001)
POINT (-97.7792389994806 30.207133000051158),Stump,0,30.207133,-97.779239,POINT (-97.7792389995 30.2071330001)
POINT (-97.77964000020995 30.207171000121676),Live Oak,4,30.207171,-97.77964,POINT (-97.7796400002 30.2071710001)
POINT (-97.77927000019126 30.207174000357583),Cedar Elm,4,30.207174,-97.77927,POINT (-97.7792700002 30.2071740004)
POINT (-97.77936299955437 30.207203000031143),Cedar Elm,3,30.207203,-97.779363,POINT (-97.7793629996 30.207203)
POINT (-97.77942500039374 30.207242000020344),Sugarberry,12,30.207242,-97.779425,POINT (-97.7794250004 30.207242)
POINT (-97.85631799997029 30.2159380003428),Live Oak,56,30.215938,-97.856318,POINT (-97.856318 30.215938)
POINT (-97.74212799994599 30.18787400002058),Crape Myrtle,10,30.187874,-97.742128,POINT (-97.742128 30.187874)
POINT (-97.77684599966649 30.19142900007255),Cedar Elm,8.5,30.191429,-97.776846,POINT (-97.776846 30.191429)
POINT (-97.77677699992053 30.19145499987084),Chinaberry,9,30.191455,-97.776777,POINT (-97.776777 30.191455)
POINT (-97.77717599996261 30.19150099970155),Live Oak,30,30.191501,-97.777176,POINT (-97.777176 30.191501)
POINT (-97.77757199969221 30.19150800017834),Vacant Site,0,30.191508,-97.777572,POINT (-97.777572 30.191508)
POINT (-97.7777249995373 30.191519000162355),Sugarberry,7,30.191519,-97.777725,POINT (-97.777725 30.191519)
POINT (-97.77764999953244 30.191520999614415),Live Oak,16,30.191521,-97.77765,POINT (-97.77765 30.191521)
POINT (-97.77739799980402 30.191530000350877),Live Oak,24,30.19153,-97.777398,POINT (-97.777398 30.19153)
POINT (-97.77772000040333 30.19153799997745),Live Oak,48,30.191538,-97.77772,POINT (-97.77772 30.191538)
POINT (-97.77756499992881 30.191584999670024),Live Oak,39,30.191585,-97.777565,POINT (-97.777565 30.191585)
POINT (-97.77706999956824 30.191641000224795),Live Oak,42,30.191641,-97.77707,POINT (-97.77707 30.191641)
POINT (-97.77737799980743 30.19165099955712),Live Oak,36,30.191651,-97.777378,POINT (-97.777378 30.191651)
POINT (-97.77778899967902 30.19167199976876),Live Oak,42,30.191672,-97.777789,POINT (-97.777789 30.191672)
POINT (-97.7767270001169 30.19167499996425),Chinaberry,13,30.191675,-97.776727,POINT (-97.776727 30.191675)
POINT (-97.77699799984727 30.19168200012379),Arizona Ash,16,30.191682,-97.776998,POINT (-97.776998 30.191682)
POINT (-97.77710400031049 30.191695000416185),Live Oak,39,30.191695,-97.777104,POINT (-97.777104 30.191695)
POINT (-97.77767899962295 30.191702999891767),Goldenrain Tree,8,30.191703,-97.777679,POINT (-97.777679 30.191703)
POINT (-97.77696900045854 30.191715000392296),Live Oak,38,30.191715,-97.776969,POINT (-97.776969 30.191715)
POINT (-97.7770400004493 30.191725999832407),Mexican Plum,7,30.191726,-97.77704,POINT (-97.77704 30.191726)
POINT (-97.77766299967564 30.19172799987277),Goldenrain Tree,8,30.191728,-97.777663,POINT (-97.777663 30.191728)
POINT (-97.77709099963351 30.191759000231304),Live Oak,25,30.191759,-97.777091,POINT (-97.777091 30.191759)
POINT (-97.77668799983068 30.19176500002931),Chinaberry,8,30.191765,-97.776688,POINT (-97.776688 30.191765)
POINT (-97.7769010003664 30.191779999946014),Live Oak,9,30.19178,-97.776901,POINT (-97.776901 30.19178)
POINT (-97.77764499989327 30.191803000403024),Live Oak,37,30.191803,-97.777645,POINT (-97.777645 30.191803)
POINT (-97.77752500010598 30.191807999588747),Live Oak,28,30.191808,-97.777525,POINT (-97.777525 30.191808)
POINT (-97.77717499989822 30.19181100022277),Live Oak,40,30.191811,-97.777175,POINT (-97.777175 30.191811)
POINT (-97.77683500050533 30.191875000349533),Pecan,12,30.191875,-97.776835,POINT (-97.776835 30.191875)
POINT (-97.7767629996642 30.191883999891555),Cedar Elm,8,30.191884,-97.776763,POINT (-97.776763 30.191884)
POINT (-97.77678400050915 30.19188799968032),Cedar Elm,6,30.191888,-97.776784,POINT (-97.776784 30.191888)
POINT (-97.77763499999406 30.191927999871805),Live Oak,38,30.191928,-97.777635,POINT (-97.777635 30.191928)
POINT (-97.77758100033356 30.19195799997985),Ashe Juniper,14,30.191958,-97.777581,POINT (-97.777581 30.191958)
POINT (-97.77695900006466 30.191962000154717),Cedar Elm,12,30.191962,-97.776959,POINT (-97.776959 30.191962)
POINT (-97.77702899981526 30.191969000353936),Crape Myrtle,10,30.191969,-97.777029,POINT (-97.777029 30.191969)
POINT (-97.77692700011077 30.19199000025228),Cedar Elm,8,30.19199,-97.776927,POINT (-97.776927 30.19199)
POINT (-97.77735199976378 30.191998999766962),Crape Myrtle,11,30.191999,-97.777352,POINT (-97.777352 30.191999)
POINT (-97.77736499953792 30.192007000370104),Crape Myrtle,10,30.192007,-97.777365,POINT (-97.777365 30.192007)
POINT (-97.77749699975816 30.19202799967965),Live Oak,33,30.192028,-97.777497,POINT (-97.777497 30.192028)
POINT (-97.77725500023197 30.192029000322812),Sugarberry,12,30.192029,-97.777255,POINT (-97.777255 30.192029)
POINT (-97.77759900028072 30.19204800028294),Ligustrum,16,30.192048,-97.777599,POINT (-97.777599 30.192048)
POINT (-97.77763700006989 30.19206000002984),Vacant Site,0,30.19206,-97.777637,POINT (-97.777637 30.19206)
POINT (-97.77688600013974 30.19209100045154),Cedar Elm,10,30.192091,-97.776886,POINT (-97.776886 30.192091)
POINT (-97.77665499969639 30.192122999844436),Cedar Elm,9,30.192123,-97.776655,POINT (-97.776655 30.192123)
POINT (-97.77749300050357 30.192143999991472),Live Oak,26,30.192144,-97.777493,POINT (-97.777493 30.192144)
POINT (-97.77753499984668 30.192155000423003),Live Oak,23,30.192155,-97.777535,POINT (-97.777535 30.192155)
POINT (-97.77667999952102 30.192163000335977),Vacant Site,0,30.192163,-97.77668,POINT (-97.77668 30.192163)
POINT (-97.77747900013046 30.19223500013824),Live Oak,23,30.192235,-97.777479,POINT (-97.777479 30.192235)
POINT (-97.7766360001592 30.192272999956856),Cedar Elm,9,30.192273,-97.776636,POINT (-97.776636 30.192273)
POINT (-97.77677199957873 30.192311000351268),Live Oak,33,30.192311,-97.776772,POINT (-97.776772 30.192311)
POINT (-97.77746400014095 30.192330999987607),Crape Myrtle,8,30.192331,-97.777464,POINT (-97.777464 30.192331)
POINT (-97.77686700014283 30.192342000114007),Live Oak,25,30.192342,-97.776867,POINT (-97.776867 30.192342)
POINT (-97.77739500039733 30.19235600034977),Crape Myrtle,9,30.192356,-97.777395,POINT (-97.777395 30.192356)
POINT (-97.77720299970237 30.192385000335456),Live Oak,27,30.192385,-97.777203,POINT (-97.777203 30.192385)
POINT (-97.77755499992776 30.19242600008677),Live Oak,35,30.192426,-97.777555,POINT (-97.777555 30.192426)
POINT (-97.77709400044176 30.19244900009629),Baldcypress,13,30.192449,-97.777094,POINT (-97.777094 30.192449)
POINT (-97.7790979996994 30.206650000019923),Live Oak,5,30.20665,-97.779098,POINT (-97.7790979997 30.20665)
POINT (-97.77915699962772 30.206664999664692),Live Oak,5,30.206665,-97.779157,POINT (-97.7791569996 30.2066649997)
POINT (-97.77932000035308 30.206675000267026),Live Oak,5,30.206675,-97.77932,POINT (-97.7793200004 30.2066750003)
POINT (-97.77903446158477 30.20667898143153),Live Oak,5,30.20667898,-97.77903446,POINT (-97.7790344616 30.2066789814)
POINT (-97.77899080579381 30.206726885160705),Live Oak,5,30.20672689,-97.77899081,POINT (-97.7789908058 30.2067268852)
POINT (-97.77935300023545 30.206793000160843),Live Oak,5,30.206793,-97.779353,POINT (-97.7793530002 30.2067930002)
POINT (-97.77942600031442 30.206829999798952),Stump,0,30.20683,-97.779426,POINT (-97.7794260003 30.2068299998)
POINT (-97.77892499995448 30.206842999913466),Cedar Elm,4,30.206843,-97.778925,POINT (-97.778925 30.206843)
POINT (-97.77963400018662 30.20684900038617),Live Oak,5,30.206849,-97.779634,POINT (-97.7796340002 30.2068490004)
POINT (-97.7793050001761 30.2068729998552),Stump,0,30.206873,-97.779305,POINT (-97.7793050002 30.2068729999)
POINT (-97.77972099970661 30.206885000436554),Stump,0,30.206885,-97.779721,POINT (-97.7797209997 30.2068850004)
POINT (-97.77884399988496 30.206906999731395),Cedar Elm,4,30.206907,-97.778844,POINT (-97.7788439999 30.2069069997)
POINT (-97.77897599999595 30.20690799968845),Stump,0,30.206908,-97.778976,POINT (-97.778976 30.2069079997)
POINT (-97.7795429998364 30.20699700033042),Live Oak,5,30.206997,-97.779543,POINT (-97.7795429998 30.2069970003)
POINT (-97.77909000000496 30.207001000272438),Texas Mountain Laurel,21,30.207001,-97.77909,POINT (-97.77909 30.2070010003)
POINT (-97.77903200010154 30.207001999912936),Cedar Elm,4,30.207002,-97.779032,POINT (-97.7790320001 30.2070019999)
POINT (-97.77909699958855 30.207004000278477),Stump,0,30.207004,-97.779097,POINT (-97.7790969996 30.2070040003)
POINT (-97.79726100027544 30.21609900001159),Live Oak,29,30.216099,-97.797261,POINT (-97.797261 30.216099)
POINT (-97.7971060000753 30.21622900028984),Live Oak,20,30.216229,-97.797106,POINT (-97.797106 30.216229)
POINT (-97.79713900020619 30.216239000136373),Live Oak,16,30.216239,-97.797139,POINT (-97.797139 30.216239)
POINT (-97.79737299990506 30.216301000418227),Live Oak,16,30.216301,-97.797373,POINT (-97.797373 30.216301)
POINT (-97.79701900027517 30.216314999775186),Live Oak,16,30.216315,-97.797019,POINT (-97.797019 30.216315)
POINT (-97.79711399990548 30.216333000376764),Live Oak,17,30.216333,-97.797114,POINT (-97.797114 30.216333)
POINT (-97.79705100044704 30.21633400040838),Live Oak,16,30.216334,-97.797051,POINT (-97.797051 30.216334)
POINT (-97.79710999951689 30.21634899972671),Live Oak,11,30.216349,-97.79711,POINT (-97.79711 30.216349)
POINT (-97.79711600006375 30.216362000190344),Live Oak,15,30.216362,-97.797116,POINT (-97.797116 30.216362)
POINT (-97.79707799991318 30.2163719997598),Live Oak,21,30.216372,-97.797078,POINT (-97.797078 30.216372)
POINT (-97.797015999528 30.216378000408938),Live Oak,19,30.216378,-97.797016,POINT (-97.797016 30.216378)
POINT (-97.79705399982574 30.21638599958813),Live Oak,13,30.216386,-97.797054,POINT (-97.797054 30.216386)
POINT (-97.79707699968657 30.216403999946102),Live Oak,23,30.216404,-97.797077,POINT (-97.797077 30.216404)
POINT (-97.79699100049864 30.216412000383347),Live Oak,19,30.216412,-97.796991,POINT (-97.796991 30.216412)
POINT (-97.79773200002793 30.21641500039383),Live Oak,17,30.216415,-97.797732,POINT (-97.797732 30.216415)
POINT (-97.7974960001649 30.216418999811932),Live Oak,13,30.216419,-97.797496,POINT (-97.797496 30.216419)
POINT (-97.7975109996811 30.216426999988293),Live Oak,19,30.216427,-97.797511,POINT (-97.797511 30.216427)
POINT (-97.7973979995665 30.216453999635),Live Oak,11,30.216454,-97.797398,POINT (-97.797398 30.216454)
POINT (-97.79743399973064 30.21645500034432),Live Oak,11,30.216455,-97.797434,POINT (-97.797434 30.216455)
POINT (-97.79744400006832 30.216458000093667),Live Oak,14,30.216458,-97.797444,POINT (-97.797444 30.216458)
POINT (-97.79741100048076 30.21646800042719),Live Oak,14,30.216468,-97.797411,POINT (-97.797411 30.216468)
POINT (-97.79759100039605 30.2165029999073),Live Oak,15,30.216503,-97.797591,POINT (-97.797591 30.216503)
POINT (-97.79760699977817 30.216535999903066),Live Oak,15,30.216536,-97.797607,POINT (-97.797607 30.216536)
POINT (-97.79808899986594 30.216575000100654),Live Oak,11,30.216575,-97.798089,POINT (-97.798089 30.216575)
POINT (-97.79807300041593 30.216575999862425),Live Oak,15,30.216576,-97.798073,POINT (-97.798073 30.216576)
POINT (-97.79810200036475 30.216591000369743),Live Oak,8,30.216591,-97.798102,POINT (-97.798102 30.216591)
POINT (-97.79815300037852 30.216607000339707),Cedar Elm,12,30.216607,-97.798153,POINT (-97.798153 30.216607)
POINT (-97.7981189996264 30.21660800017194),Cedar Elm,13,30.216608,-97.798119,POINT (-97.798119 30.216608)
POINT (-97.79682100033529 30.216641999681496),Vacant Site,0,30.216642,-97.796821,POINT (-97.796821 30.216642)
POINT (-97.79682899960258 30.216644999547377),Live Oak,34,30.216645,-97.796829,POINT (-97.796829 30.216645)
POINT (-97.79785300036238 30.216705000289586),Live Oak,15,30.216705,-97.797853,POINT (-97.797853 30.216705)
